appId,summary,free,genre,installs,ratings,price,size,contentRating,reviews,released,adSupported,sale,editorsChoice
com.nigeriamap.dev,The Nigerian map jigsaw and 300 General knowledge questions about Nigeria.,True,Puzzle,"10,000+",92.0,0.0,42M,Rated for 3+,62,"Sep 25, 2019",True,False,False
com.Maliyo.abokirun,"Join Danjuma, Gbenga & Chinedu in this brand new endless runner game by Maliyo",True,Action,"50,000+",595.0,0.0,36M,Rated for 3+,236,"Nov 1, 2016",True,False,False
com.chopbarh.common,Play Nigerian Games on ChopBarh,True,Card,"100,000+",1602.0,0.0,68M,Rated for 12+,1144,"Jun 26, 2019",,False,False
com.maliyo.ndeltacommando,An addictive shooting game that deals with destroying terrorists in Nigeria.,True,Action,"1,000+",23.0,0.0,26M,Rated for 3+,11,"Aug 17, 2016",True,False,False
com.grishinteractive.lagoscityrun,A fast paced fun running game through the ever busy city of Lagos,True,Adventure,"1,000+",36.0,0.0,81M,Rated for 3+,23,"Jun 14, 2016",,False,False
com.gremacorp.b9janov2020,Install For the Best of B9ja VIP Predictions & Odds,True,Sports,"10,000+",78.0,0.0,11M,Rated for 3+,42,"Nov 27, 2020",True,False,False
com.Sixthcreation.TNQG,"A quiz game to test your knowledge of the most populous black nation, Nigeria.",False,Trivia,10+,,200.0,11M,Rated for 3+,0,"Apr 15, 2018",,False,False
software.appus.qnaija,Download the App. Answer Easy Questions During The Live Game Shows And Win Cash!,True,Trivia,"1,000+",27.0,0.0,8.0M,Rated for 3+,17,"Feb 11, 2019",True,False,False
com.eduapp4syria.feedthemonsterENGLISH,An award-winning educational game that helps kids learn to read!,True,Educational,"10,000+",72.0,0.0,56M,Rated for 3+,31,"Aug 14, 2017",,False,False
com.pictures.kacicikacici,Wannan application ana son ka rinka hada kalmomi ne da pattern kamar na waya.,True,Educational,"1,000+",6.0,0.0,7.8M,Rated for 3+,1,"Feb 4, 2020",True,False,False
naijaloaded.mobileapp,"Official Naijaloaded app, No1 best music and Entertainment entertaining app",True,Entertainment,"1,000+",53.0,0.0,9.7M,Rated for 12+,25,"Jul 28, 2020",True,False,False
com.synergie.takpan.mapoutnigeria.paid.release,Map Out Nigeria is an exciting Map puzzle educational game for kids and Adults,True,Educational,"1,000+",11.0,0.0,21M,Rated for 3+,8,"Aug 2, 2018",,False,False
